CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V94645,155,0.003,0.022000000000000002,4.68,0.86,0.08900000000000001,0.045,297,42,1388.3496882179193,8,5,0.005
V94644,149,0.005,0.024,4.66,0.91,0.095,0.046,272,38,1391.0,7,4,0.005
V94643,156,0.003,0.034,4.62,0.62,0.059000000000000004,0.049,341,48,1404.0,9,6,0.008
V94641,161,0.005,0.055999999999999994,4.55,0.465,0.045,0.043,424,59,1407.0,11,7,0.013999999999999999
V94640,164,0.005,0.054000000000000006,4.52,0.483,0.046,0.042,410,58,1400.0,11,6,0.013000000000000001
V94639,160,0.005,0.049,4.54,0.41,0.045,0.040999999999999995,370,51,1359.0,9,6,0.019
V94637,176,0.005,0.034,4.65,0.883,0.094,0.048,364,50,1383.0,9,6,0.017
V94636,155,0.005,0.05,4.52,0.51,0.05,0.045,387,55,1367.0,10,5,0.012
V94633,162,0.005,0.033,4.53,0.7070000000000001,0.071,0.044000000000000004,318,43,1328.0,8,5,0.009000000000000001
V94630,160,0.005,0.049,4.58,0.38799999999999996,0.031,0.04,566,47,1382.0,15,5,0.009000000000000001
V94629,170,0.005,0.05,4.59,0.517,0.039,0.04,396,56,1367.0,10,7,0.013999999999999999
V94625,162,0.005,0.02,4.58,0.915,0.096,0.049,255,35,1393.0,7,4,0.004
V94624,162,0.005,0.048,4.57,0.6970000000000001,0.062,0.045,367,51,1372.0,9,4,0.011000000000000001
V94622,165,0.005,0.035,4.57,0.8079999999999999,0.078,0.048,320,45,1350.0,8,4,0.008
V94621,161,0.005,0.027999999999999997,4.56,0.7659999999999999,0.08,0.049,326,46,1403.0,8,5,0.006999999999999999
V94620,163,0.005,0.028999999999999998,4.54,0.787,0.078,0.05,348,48,1344.0,9,4,0.002
V94619,166,0.005,0.039,4.55,0.743,0.067,0.047,365,48,1405.0,10,6,0.01
V94618,162,0.005,0.040999999999999995,4.6,0.5539999999999999,0.052000000000000005,0.046,360,46,1420.0,9,4,0.012
V94617,175,0.008,0.037000000000000005,4.52,0.557,0.053,0.046,336,48,1428.0,9,6,0.011000000000000001
V94616,161,0.008,0.038,4.52,0.532,0.053,0.045,328,46,1350.0,9,4,0.01
V94615,168,0.008,0.042,4.54,0.5720000000000001,0.054000000000000006,0.043,347,49,1341.0,9,6,0.013000000000000001
V94611,167,0.008,0.040999999999999995,4.48,0.518,0.048,0.043,355,47,1383.0,9,5,0.015
V94608,163,0.008,0.048,4.5,0.5379999999999999,0.047,0.040999999999999995,369,51,1372.0,10,6,0.01
V94607,166,0.008,0.015,4.64,1.06,0.11,0.05,231,32,1346.0,6,3,0.005
V94606,165,0.008,0.035,4.55,0.69,0.067,0.045,342,41,1319.0,9,5,0.008
V94602,159,0.008,0.04,4.6,0.599,0.059000000000000004,0.048,339,47,1392.0,9,5,0.008
V94598,164,0.008,0.047,4.53,0.503,0.049,0.046,356,50,1362.0,10,4,0.01
V94597,164,0.008,0.053,4.38,0.526,0.05,0.045,370,52,1319.0,10,4,0.013000000000000001
V94596,172,0.008,0.052000000000000005,4.52,0.433,0.045,0.044000000000000004,384,54,1347.0,11,5,0.012
V94594,167,0.008,0.055999999999999994,4.57,0.382,0.038,0.045,386,56,1389.0,11,5,0.013000000000000001
V94593,173,0.008,0.055,4.52,0.428,0.042,0.045,294,43,1396.0,9,3,0.018000000000000002
V94592,168,0.008,0.037000000000000005,4.499,0.584,0.036000000000000004,0.049,318,44,1356.0,9,4,0.019
V94590,165,0.008,0.052000000000000005,4.53,0.49,0.048,0.045,372,51,1414.0,10,4,0.015
V94589,164,0.008,0.036000000000000004,4.7,0.604,0.031,0.049,310,44,1393.0,9,3,0.01
V94588,162,0.008,0.05,4.54,0.39799999999999996,0.043,0.047,370,52,1356.0,10,4,0.008
V94587,178,0.008,0.042,4.55,0.639,0.063,0.045,327,47,1374.0,9,4,0.013000000000000001
V94586,163,0.008,0.015,4.55,1.22,0.122,0.038,212,30,1388.3496882179193,6,2,0.003
V94584,167,0.005,0.049,4.56,0.49200000000000005,0.045,0.042,386,55,1375.0,11,5,0.01
V94583,175,0.008,0.051,4.57,0.6459999999999999,0.054000000000000006,0.033,379,53,1356.0,10,4,0.013000000000000001
V94582,160,0.005,0.048,4.56,0.595,0.055,0.026000000000000002,386,54,1370.0,11,5,0.01
V94581,164,0.005,0.043,4.56,0.603,0.055,0.013000000000000001,359,55,1372.0,10,5,0.012
V94579,172,0.005,0.049,4.56,0.431,0.048,0.036000000000000004,389,55,1443.0,12,5,0.01
V94578,165,0.005,0.049,4.57,0.43799999999999994,0.046,0.04,391,55,1384.0,11,5,0.013999999999999999
V94576,168,0.005,0.057,4.59,0.408,0.04,0.038,422,60,1378.0,13,6,0.016
V94573,179,0.005,0.032,4.64,0.419,0.057999999999999996,0.040999999999999995,319,45,1386.0,8,4,0.006
V94572,168,0.005,0.028999999999999998,4.621,0.65,0.067,0.040999999999999995,300,42,1376.0,8,3,0.012
V94570,167,0.005,0.036000000000000004,4.58,0.6659999999999999,0.069,0.045,323,45,1386.0,8,4,0.008
V94569,178,0.005,0.05,4.61,0.725,0.057999999999999996,0.044000000000000004,396,55,1388.3496882179193,11,5,0.006
V94568,164,0.005,0.043,4.58,0.608,0.057999999999999996,0.046,367,50,1409.0,11,5,0.005
V94566,170,0.005,0.040999999999999995,4.6,0.62,0.061,0.045,372,49,1373.0,9,4,0.01
V94565,166,0.005,0.040999999999999995,4.59,0.527,0.059000000000000004,0.045,344,49,1360.0,10,4,0.006999999999999999
V94563,170,0.005,0.047,4.56,0.583,0.052000000000000005,0.040999999999999995,381,53,1355.0,10,5,0.011000000000000001
V94559,175,0.005,0.07,4.55,0.395,0.03,0.035,509,76,1367.0,13,6,0.015
V94558,162,0.005,0.055,4.52,0.392,0.036000000000000004,0.039,438,66,1402.0,12,6,0.008
V94557,160,0.005,0.042,4.52,0.521,0.053,0.044000000000000004,362,51,1430.0,11,5,0.009000000000000001
V94555,162,0.005,0.02,4.5,0.904,0.098,0.046,254,40,1346.0,7,4,0.002
V94554,171,0.005,0.036000000000000004,4.57,0.654,0.075,0.044000000000000004,331,51,1372.0,9,4,0.006
V94553,165,0.005,0.046,4.58,0.703,0.057,0.042,368,53,1415.0,11,5,0.008
V94552,146,0.005,0.043,4.52,0.629,0.06,0.043,362,54,1404.0,10,7,0.006999999999999999
V94551,162,0.005,0.045,4.55,0.647,0.065,0.043,367,54,1399.0,11,4,0.005
V94550,160,0.005,0.044000000000000004,4.54,0.657,0.064,0.043,361,52,1405.0,10,5,0.006999999999999999
