,CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
1483,V97830,179,0.005,0.055,4.51,0.47,0.063,0.043,414,68,1396.0,12,6,0.006999999999999999
1484,V97829,158,0.005,0.057999999999999996,4.48,0.773,0.067,0.043,410,72,1406.0,11,7,0.006
1485,V97828,164,0.005,0.05,4.55,0.42100000000000004,0.057999999999999996,0.043,392,61,1308.0,11,6,0.004
1486,V97827,177,0.005,0.04,4.53,0.486,0.059000000000000004,0.042,346,54,1311.0,9,5,0.004
1487,V97825,172,0.005,0.05,4.55,0.882,0.064,0.040999999999999995,421,67,1364.0,11,6,0.005
1488,V97826,178,0.005,0.045,4.63,0.674,0.07200000000000001,0.042,382,58,1325.0,11,6,0.005
1489,V97824,170,0.005,0.051,4.5,0.536,0.051,0.038,397,61,1345.0,10,5,0.011000000000000001
1490,V97823,166,0.005,0.053,4.44,0.544,0.044000000000000004,0.039,406,65,1347.0,12,6,0.005
1491,V97822,166,0.005,0.046,4.55,0.40700000000000003,0.046,0.039,379,59,1359.0,10,5,0.012
1492,V97820,167,0.005,0.052000000000000005,4.49,0.337,0.045,0.037000000000000005,422,66,1366.0,11,6,0.006
1493,V97819,165,0.005,0.055,4.49,0.33,0.04,0.039,414,66,1370.0,12,7,0.006999999999999999
1494,V97818,160,0.005,0.045,4.55,0.738,0.081,0.043,369,53,1403.0,9,5,0.006
1495,V97817,162,0.005,0.044000000000000004,4.58,0.682,0.077,0.045,367,52,1405.0,11,5,0.005
1496,V97816,165,0.005,0.042,4.54,0.435,0.062,0.042,369,51,1332.0,9,5,0.004
1497,V97815,165,0.005,0.057999999999999996,4.5,0.387,0.04,0.039,441,69,1373.0,11,6,0.005
1498,V97814,163,0.005,0.053,4.58,0.452,0.04,0.04,422,65,1368.0,12,6,0.004
1499,V97813,167,0.005,0.040999999999999995,4.58,0.9540000000000001,0.09300000000000001,0.045,350,49,1363.0,8,5,0.005
1500,V97812,168,0.005,0.043,4.56,0.904,0.08900000000000001,0.043,361,52,1417.0,9,5,0.005
1501,V97811,160,0.005,0.039,4.56,0.598,0.066,0.040999999999999995,340,49,1419.0,10,4,0.005
1502,V97809,180,0.005,0.048,4.53,0.43200000000000005,0.059000000000000004,0.042,386,54,1336.0,10,5,0.009000000000000001
1503,V97808,158,0.005,0.039,4.56,0.7020000000000001,0.057999999999999996,0.040999999999999995,337,48,1392.0,10,4,0.01
1504,V97807,155,0.005,0.036000000000000004,4.5,0.337,0.053,0.043,328,45,1423.0,8,4,0.009000000000000001
1505,V97806,162,0.005,0.034,4.55,0.5770000000000001,0.069,0.043,313,48,1405.0,8,4,0.006999999999999999
1506,V97805,157,0.005,0.038,4.56,0.698,0.079,0.042,331,47,1385.0,10,4,0.006
